Country ,IOS,Region,Population,GDP_PPP,GDP,GDP_PC_PPP,GDP_PC,HDI
Saudi Arabia,SAU,Western Asia,28829,"1,366,703.46","711,049.60","48,163.46","23,593.82",0.782
Senegal,SEN,Western Africa,14133,"28,638.04","14,045.76","2,243.03","1,123.20",0.47
Serbia,SRB,Southern Europe,9511,"86,050.33","37,488.94","11,854.30","6,027.12",0.769
Seychelles,SYC,Eastern Africa,93,"1,960.80","1,128.75","22,569.33","12,195.96",0.806
Sierra Leone,SLE,Western Africa,6092,"8,212.33","3,796.03","1,369.30",490.46,0.359
Singapore,SGP,South-Eastern Asia,5412,"374,760.24","276,520.03","72,295.90","51,241.74",0.895
Slovak Republic,SVK,Eastern Europe,5450,"135,652.71","91,347.81","25,129.72","17,762.43",0.84
Slovenia,SVN,Southern Europe,2072,"57,799.56","45,378.39","28,156.45","24,480.33",0.892
Solomon Islands,SLB,Melanesia,561,n/a,"1,008.42",n/a,n/a,0.53
Somalia,SOM,Eastern Africa,10496,n/a,n/a,n/a,n/a,n/a
South Africa,ZAF,Southern Africa,52776,"611,138.77","384,312.67","12,111.36","7,962.80",0.629
South Sudan,SSD,Eastern Africa,11296,n/a,"10,220.26",n/a,n/a,n/a
Spain,ESP,Southern Europe,46927,"1,483,223.71","1,322,114.87","32,156.47","31,534.50",0.885
Sri Lanka,LKA,Southern Asia,21273,"169,263.20","59,423.01","8,110.75","2,835.53",0.715
Sudan,SDN,Northern Africa,37964,"152,425.55","58,768.80","3,607.98","1,655.97",0.414
Suriname,SUR,South America,539,"7,808.71","5,012.12","14,462.99","8,081.53",0.684
Swaziland,SWZ,Southern Africa,1250,"7,614.40","3,744.47","6,327.77","3,399.11",0.536
Sweden,SWE,Northern Europe,9571,"394,624.73","523,942.29","41,761.44","56,704.40",0.916
Switzerland,CHE,Western Europe,8078,"405,921.20","631,173.03","51,582.23","83,854.12",0.913
Syrian Arab Republic,SYR,Western Asia,21898,n/a,n/a,n/a,n/a,0.648
Taiwan (China),TWN,East Asia,2336,"907,144.00",n/a,"39,059.10","20,030.41",n/a
Tajikistan,TJK,Central Asia,8208,"17,286.97","7,632.61","2,242.59",846.28,0.622
Tanzania (United Republic),TZA,Eastern Africa,49253,"71,835.72","28,242.43","1,554.26",516.55,0.476
Thailand,THA,South-Eastern Asia,67011,"898,963.00","365,965.82","13,298.86","5,395.30",0.69
Timor-Leste,TMP,South-Eastern Asia,1133,n/a,"1,293.00",n/a,n/a,0.576
Togo,TGO,Western Africa,6817,"8,087.14","3,813.83","1,313.95",598.85,0.459
